ESP,EOP,ECP,Visits,PageViews,LinkClicks,VideoClicks,ViewedContent,IntentToPurchase
6,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
7,0,0,0,0,0,0,0,30
1,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,20
8,3.5,1,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
5,5,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,10
14,8,0,0,0,0,0,0,30
3,3,2,6,16,24,5,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
4,2,0,0,0,0,0,0,10
3,0,0,0,0,0,0,0,30
4,1,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
3,0,0,0,0,0,0,0,10
2.2,2.333333333,0,0,0,0,0,0,20
0,0,0,1,3,2,0,0,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,16,46,37,0,0,10
1,1,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,20
0,0,0,7,18,7,11,0,10
0,0,0,0,0,0,0,0,10
3,3,0,1,5,1,0,2,10
5.5,5.333333333,0,19,120,112,0,52,30
1,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
1,1,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
11,5,3,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
6.5,4,4,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
4.125,3,1.5,2,2,0,0,0,30
0,0,0,5,9,1,0,0,30
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
5.333333333,3.5,4,0,0,0,0,0,20
1,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
9,2,1,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
10,9,6,0,0,0,0,0,30
1.5,0,0,0,0,0,0,0,20
2,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
2,1,0,0,0,0,0,0,20
0,0,0,1,1,1,0,0,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
3,0,0,0,0,0,0,0,10
9,5,1.5,126,450,327,21,64,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
10,8,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,20
4,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
1,1,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
4,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
6.333333333,6,1,0,0,0,0,0,20
0,0,0,74,189,191,1,291,20
0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
1,1,0,0,0,0,0,0,30
3,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
4,1,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,10
1,0,0,4,10,9,0,1,10
0,0,0,0,0,0,0,0,10
3.666666667,6,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
3,2,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
4.0625,2.545454545,1.333333333,0,0,0,0,0,20
