RoutedtoMSX,LeadsDownloadedContent,DownloadedContentInstances,RegisteredEventsInstances,EOP,VisitedWebpage,UniqueVisitors,CustomEvent,VideoClicks,IntentToPurchase
0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,30
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,0,10
0,0,0,1,3.5,1,0,0,0,20
1,0,0,0,0,0,0,0,0,10
0,0,0,0,5,0,0,0,0,30
1,0,0,0,8,0,0,0,0,30
1,0,0,0,3,0,2,9,5,10
1,0,0,0,2,0,0,0,0,10
0,0,0,0,0,0,0,0,0,30
1,0,0,0,1,0,0,0,0,10
0,0,0,0,0,0,0,0,0,10
0,0,0,0,2.333333333,0,0,0,0,20
0,0,0,0,0,0,1,0,0,20
1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,1,0,0,10
1,0,0,0,1,0,0,0,0,20
0,0,0,0,0,0,0,0,0,20
2,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,3,22,11,10
0,0,0,1,3,0,1,2,0,10
1,1,2,0,5.333333333,2,6,112,0,30
0,0,0,0,0,0,0,0,0,30
1,0,0,0,0,0,0,0,0,20
1,0,0,0,1,0,0,0,0,10
3,0,0,0,0,0,0,0,0,10
1,0,0,1,5,1,0,0,0,20
1,0,0,0,0,0,0,0,0,10
0,0,0,0,4,0,0,0,0,20
0,1,1,0,0,0,0,0,0,10
0,1,1,0,3,0,1,0,0,30
0,0,0,0,0,1,1,3,0,30
1,0,0,0,0,0,0,0,0,10
0,0,0,0,3.5,0,0,0,0,20
1,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,0,0,0,10
0,0,0,1,2,1,0,0,0,20
0,0,0,0,9,0,0,0,0,30
0,0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,0,10
0,0,0,0,1,0,0,0,0,20
0,1,1,0,0,0,1,0,0,20
1,0,0,0,0,0,0,0,0,10
0,1,1,0,0,0,0,0,0,10
0,1,1,0,0,0,0,0,0,10
1,0,0,1,0,0,0,0,0,10
9,0,0,1,5,5,13,126,21,20
1,0,0,0,8,0,0,0,0,20
0,1,1,0,0,0,0,0,0,30
0,1,1,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,20
1,0,0,0,0,1,0,0,0,20
0,0,0,0,0,0,0,0,0,10
3,0,0,0,0,0,0,0,0,10
0,0,0,0,1,0,0,0,0,20
0,0,0,0,0,0,0,0,0,10
2,0,0,0,0,0,0,0,0,10
6,1,3,0,6,0,0,0,0,20
0,0,0,0,0,1,1,1341,1,20
1,0,0,0,0,0,0,0,0,20
0,0,0,0,1,0,0,0,0,30
0,0,0,0,0,0,0,0,0,30
0,0,0,1,1,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,1,1,0,0,0,2,1,0,10
3,1,2,0,6,0,0,0,0,30
0,1,1,0,0,0,0,0,0,10
0,0,0,0,2,0,0,0,0,10
0,0,0,1,2.545454545,1,0,0,0,20
1,0,0,0,0,0,0,0,0,10
0,1,1,1,8,1,0,0,0,20
0,0,0,0,0,1,1,92,24,20
1,0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,2,23,0,10
1,0,0,0,6,0,1,3,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,3,0,0,0,0,20
0,0,0,2,4,0,0,0,0,30
0,0,0,0,1,0,0,0,0,10
0,0,0,0,5,0,0,0,0,10
0,0,0,0,0,0,1,5,0,10
2,1,1,0,0,1,1,27,0,30
0,0,0,1,1,0,0,0,0,10
0,0,0,0,0,0,1,34,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,1,1,25,20,30
0,0,0,0,0,0,1,0,0,10
1,0,0,0,0,0,2,0,0,10
0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,20
0,0,0,0,1,0,0,0,0,20
0,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,0,0,0,10
0,0,0,0,3,0,0,0,0,20
0,0,0,0,0,0,0,0,0,30
1,0,0,0,5.5,0,0,0,0,30
1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,30
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,30
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,1,3,1,0,0,0,20
0,0,0,0,1,0,0,0,0,20
1,1,2,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
5,2,1,6,0,1,5,52,0,20
0,0,0,3,6,0,0,0,0,20
0,0,0,0,1,0,0,0,0,10
0,0,0,1,1,1,0,0,0,30
1,0,0,0,0,0,0,0,0,10
1,0,0,0,2,1,2,0,0,20
24,1,1,3,2.428571429,5,9,711,110,30
2,0,0,0,1,0,0,0,0,30
0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,1,0,0,1,1,0,10
0,0,0,0,0,0,1,0,0,10
0,0,0,0,2,0,0,0,0,20
0,0,0,0,0,0,1,56,40,10
0,1,1,0,1,0,0,0,0,10
0,0,0,0,2.333333333,0,0,0,0,20
1,0,0,0,0,0,0,0,0,10
0,0,0,0,2,0,0,0,0,30
2,0,0,1,1.666666667,1,1,0,0,30
0,0,0,0,2,0,0,0,0,20
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,0,3,0,0,0,0,10
0,1,1,0,0,0,1,1,0,10
0,0,0,0,0,0,1,0,0,20
2,0,0,2,6,1,0,0,0,30
0,0,0,0,3,0,0,0,0,10
0,0,0,0,0,0,0,0,0,20
1,0,0,1,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,30
1,0,0,0,1,0,2,18,0,30
0,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,0,30
0,2,2,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,0,1.6,0,0,0,0,30
0,0,0,2,3,0,0,0,0,20
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,0,8,0,0,0,0,10
1,0,0,0,0,1,0,0,0,30
2,0,0,0,0,0,0,0,0,20
0,0,0,0,1,0,0,0,0,30
0,0,0,0,5,0,1,28,0,30
0,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,1,2,2,3,1,1,168,82,20
0,0,0,0,0,0,0,0,0,30
2,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,1,0,0,10
1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,10
3,1,1,2,1,1,1,5,1,30
1,1,1,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
1,0,0,0,1,0,2,54,11,10
1,0,0,0,0,0,0,0,0,30
1,0,0,0,0,0,0,0,0,20
0,1,1,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,30
1,0,0,0,0,0,1,32,0,20
0,1,1,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
2,0,0,0,1,0,0,0,0,30
2,0,0,0,0,0,0,0,0,20
0,0,0,0,3,0,0,0,0,30
1,1,1,1,14,0,0,0,0,10
0,1,1,0,1,0,0,0,0,10
3,1,1,0,1,0,0,0,0,30
0,1,1,0,0,1,1,1,0,30
2,0,0,0,0,0,0,0,0,20
0,0,0,1,1,0,0,0,0,10
1,0,0,0,0,0,0,0,0,10
0,1,1,0,0,0,0,0,0,10
1,1,1,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,20
0,1,1,0,0,0,0,0,0,10
0,1,1,0,0,0,0,0,0,10
0,0,0,0,11,0,0,0,0,20
1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,1,25,25,10
0,0,0,0,0,0,0,0,0,20
